video,pose,text
BSL_Videos/abandon/abandon_001.mp4,,abandon
BSL_Videos/abashed/abashed_001.mp4,,abashed
BSL_Videos/abattoir/abattoir_001.mp4,,abattoir
BSL_Videos/abbreviate/abbreviate_001.mp4,,abbreviate
BSL_Videos/abbreviation/abbreviation_001.mp4,,abbreviation
BSL_Videos/abide/abide_001.mp4,,abide
BSL_Videos/ability/ability_001.mp4,,ability
BSL_Videos/able/able_001.mp4,,able
BSL_Videos/abort/abort_001.mp4,,abort
BSL_Videos/abortion/abortion_001.mp4,,abortion
BSL_Videos/about/about_001.mp4,,about
BSL_Videos/about/about_002.mp4,,about
BSL_Videos/about/about_003.mp4,,about
BSL_Videos/about/about_004.mp4,,about
BSL_Videos/about/about_005.mp4,,about
BSL_Videos/about/about_006.mp4,,about
BSL_Videos/about_time/about_time_001.mp4,,about_time
BSL_Videos/above/above_001.mp4,,above
BSL_Videos/above/above_002.mp4,,above
BSL_Videos/above_all/above_all_001.mp4,,above_all
BSL_Videos/abroad/abroad_001.mp4,,abroad
BSL_Videos/absolve/absolve_001.mp4,,absolve
BSL_Videos/absorb/absorb_001.mp4,,absorb
BSL_Videos/absorb/absorb_002.mp4,,absorb
BSL_Videos/absorb/absorb_003.mp4,,absorb
BSL_Videos/abstain/abstain_001.mp4,,abstain
BSL_Videos/absurd/absurd_001.mp4,,absurd
BSL_Videos/abundance/abundance_001.mp4,,abundance
BSL_Videos/abundant/abundant_001.mp4,,abundant
BSL_Videos/abuse/abuse_001.mp4,,abuse
BSL_Videos/academic/academic_001.mp4,,academic
BSL_Videos/academic/academic_002.mp4,,academic
BSL_Videos/accent/accent_001.mp4,,accent
BSL_Videos/accent/accent_002.mp4,,accent
BSL_Videos/accept/accept_001.mp4,,accept
BSL_Videos/accept/accept_002.mp4,,accept
BSL_Videos/acceptability/acceptability_001.mp4,,acceptability
BSL_Videos/acceptable/acceptable_001.mp4,,acceptable
BSL_Videos/acceptable/acceptable_002.mp4,,acceptable
BSL_Videos/acceptable/acceptable_003.mp4,,acceptable
BSL_Videos/acceptance/acceptance_001.mp4,,acceptance
BSL_Videos/access/access_001.mp4,,access
BSL_Videos/accident/accident_001.mp4,,accident
BSL_Videos/accident/accident_002.mp4,,accident
BSL_Videos/accommodate/accommodate_001.mp4,,accommodate
BSL_Videos/accommodation/accommodation_001.mp4,,accommodation
